run: 292 municipalities · 20.1 GB used · 1086.3 GB free
OK arandas (112/292) 41 AGEB in 0.0 min · 20.7 GB
OK lamagdalenacontreras (113/292) 366 AGEB in 0.0 min · 20.7 GB
OK ramosarizpe (114/292) 133 AGEB in 0.0 min · 20.7 GB
OK sanandrescholula (115/292) 428 AGEB in 0.1 min · 20.7 GB
OK montemorelos (116/292) 51 AGEB in 0.0 min · 20.7 GB
OK chapala (117/292) 77 AGEB in 0.0 min · 20.7 GB
OK calera (118/292) 56 AGEB in 0.0 min · 20.7 GB
OK cueramaro (119/292) 49 AGEB in 0.0 min · 20.7 GB
OK empalme (120/292) 53 AGEB in 0.0 min · 20.7 GB
OK elota (121/292) 49 AGEB in 0.0 min · 20.7 GB
OK ascension (122/292) 28 AGEB in 0.0 min · 20.7 GB
OK sanjuandesabinas (123/292) 70 AGEB in 0.0 min · 20.7 GB
OK sanjuandeloslagos (124/292) 49 AGEB in 0.0 min · 20.7 GB
OK apizaco (125/292) 153 AGEB in 0.0 min · 20.7 GB
OK tlapadecomonfort (126/292) 49 AGEB in 0.0 min · 20.7 GB
OK nava (127/292) 33 AGEB in 0.0 min · 20.7 GB
OK generalplutarcoeliascalles (128/292) 48 AGEB in 0.0 min · 20.7 GB
OK valparaiso (129/292) 48 AGEB in 0.0 min · 20.7 GB
OK penjamo (130/292) 40 AGEB in 0.0 min · 20.7 GB
OK ojinaga (131/292) 48 AGEB in 0.0 min · 20.7 GB
OK pesqueria (132/292) 198 AGEB in 0.0 min · 20.7 GB
OK cosamaloapandecarpio (133/292) 51 AGEB in 0.0 min · 20.7 GB
OK maravatio (134/292) 45 AGEB in 0.0 min · 20.7 GB
OK ometepec (135/292) 50 AGEB in 0.0 min · 20.7 GB
OK cosoleacaque (136/292) 136 AGEB in 0.0 min · 20.7 GB
OK tecamachalco (137/292) 85 AGEB in 0.0 min · 20.7 GB
OK sanfranciscodelrincon (138/292) 88 AGEB in 0.0 min · 20.7 GB
OK sanjoseiturbide (139/292) 42 AGEB in 0.0 min · 20.7 GB
OK cihuatlan (140/292) 22 AGEB in 0.0 min · 20.7 GB
OK ayala (141/292) 115 AGEB in 0.0 min · 20.7 GB
OK ayotlan (142/292) 22 AGEB in 0.0 min · 20.7 GB
OK purisimadelrincon (143/292) 88 AGEB in 0.0 min · 20.7 GB
OK huauchinango (144/292) 59 AGEB in 0.0 min · 20.7 GB
OK cienegadeflores (145/292) 76 AGEB in 0.0 min · 20.7 GB
OK cuautitlan (146/292) 422 AGEB in 0.0 min · 20.7 GB
OK miguelaleman (147/292) 44 AGEB in 0.0 min · 20.7 GB
OK zapotlanejo (148/292) 62 AGEB in 0.0 min · 20.7 GB
OK atotonilcoelalto (149/292) 24 AGEB in 0.0 min · 20.7 GB
OK acajete (150/292) 69 AGEB in 0.0 min · 20.7 GB
OK camargo (151/292) 43 AGEB in 0.0 min · 20.7 GB
OK nacozaridegarcia (152/292) 43 AGEB in 0.0 min · 20.7 GB
OK tepejidelriodeocampo (153/292) 81 AGEB in 0.0 min · 20.7 GB
OK generalzuazua (154/292) 96 AGEB in 0.0 min · 20.7 GB
OK petatlan (155/292) 43 AGEB in 0.0 min · 20.7 GB
OK valladolid (156/292) 39 AGEB in 0.0 min · 20.7 GB
OK frontera (157/292) 146 AGEB in 0.0 min · 20.7 GB
OK perote (158/292) 36 AGEB in 0.0 min · 20.7 GB
OK tarimbaro (159/292) 233 AGEB in 0.0 min · 20.7 GB
OK jalostotitlan (160/292) 42 AGEB in 0.0 min · 20.7 GB
OK meoqui (161/292) 41 AGEB in 0.0 min · 20.7 GB
OK xalisco (162/292) 150 AGEB in 0.0 min · 20.7 GB
OK buenavista (163/292) 25 AGEB in 0.0 min · 20.7 GB
OK tamazunchale (164/292) 31 AGEB in 0.0 min · 20.7 GB
OK venustianocarranza07106 (165/292) 21 AGEB in 0.0 min · 20.7 GB
OK milpaalta (166/292) 153 AGEB in 0.0 min · 20.7 GB
OK sanpedro (167/292) 28 AGEB in 0.0 min · 20.7 GB
OK etchojoa (168/292) 30 AGEB in 0.0 min · 20.7 GB
OK jesusmaria (169/292) 155 AGEB in 0.0 min · 20.7 GB
OK izucardematamoros (170/292) 48 AGEB in 0.0 min · 20.7 GB
OK jocotepec (171/292) 44 AGEB in 0.0 min · 20.7 GB
OK zitacuaro (172/292) 41 AGEB in 0.0 min · 20.7 GB
OK tultepec (173/292) 340 AGEB in 0.0 min · 20.7 GB
OK huitzucodelosfigueroa (174/292) 24 AGEB in 0.0 min · 20.7 GB
OK labarca (175/292) 33 AGEB in 0.0 min · 20.7 GB
OK zempoala (176/292) 127 AGEB in 0.0 min · 20.7 GB
OK medellindebravo (177/292) 123 AGEB in 0.0 min · 20.7 GB
OK calkini (178/292) 32 AGEB in 0.0 min · 20.7 GB
OK rioverde (179/292) 55 AGEB in 0.0 min · 20.7 GB
OK panuco (180/292) 20 AGEB in 0.0 min · 20.7 GB
OK huejutladereyes (181/292) 31 AGEB in 0.0 min · 20.7 GB
OK jacona (182/292) 123 AGEB in 0.0 min · 20.7 GB
OK villanueva (183/292) 32 AGEB in 0.0 min · 20.7 GB
OK macuspana (184/292) 23 AGEB in 0.0 min · 20.7 GB
OK tepeapulco (185/292) 44 AGEB in 0.0 min · 20.7 GB
OK aldama (186/292) 35 AGEB in 0.0 min · 20.7 GB
OK ixtaczoquitlan (187/292) 152 AGEB in 0.0 min · 20.7 GB
OK villagran (188/292) 92 AGEB in 0.0 min · 20.7 GB
OK sanpedrocholula (189/292) 216 AGEB in 0.0 min · 20.7 GB
OK ebano (190/292) 21 AGEB in 0.0 min · 20.7 GB
OK loreto32024 (191/292) 39 AGEB in 0.0 min · 20.7 GB
OK ojocaliente (192/292) 39 AGEB in 0.0 min · 20.7 GB
OK nazas (193/292) 39 AGEB in 0.0 min · 20.7 GB
OK tequisquiapan (194/292) 55 AGEB in 0.0 min · 20.7 GB
OK vicenteguerrero (195/292) 39 AGEB in 0.0 min · 20.7 GB
OK bocoyna (196/292) 21 AGEB in 0.0 min · 20.7 GB
OK puebloviejo (197/292) 43 AGEB in 0.0 min · 20.7 GB
OK orizaba (198/292) 135 AGEB in 0.0 min · 20.7 GB
OK nahuatzen (199/292) 56 AGEB in 0.0 min · 20.7 GB
OK puentedeixtla (200/292) 75 AGEB in 0.0 min · 20.7 GB
FAIL laindependencia (201/292): ValueError: laindependencia: no patch landed inside an AGEB
OK loreto03009 (202/292) 38 AGEB in 0.0 min · 20.7 GB
OK tonala07097 (203/292) 27 AGEB in 0.0 min · 20.7 GB
OK huetamo (204/292) 38 AGEB in 0.0 min · 20.7 GB
OK berriozabal (205/292) 36 AGEB in 0.0 min · 20.7 GB
OK sanpedromixtepec (206/292) 47 AGEB in 0.0 min · 20.7 GB
OK pedroescobedo (207/292) 48 AGEB in 0.0 min · 20.7 GB
OK puruandiro (208/292) 29 AGEB in 0.0 min · 20.7 GB
OK arcelia (209/292) 37 AGEB in 0.0 min · 20.7 GB
OK villahidalgo (210/292) 37 AGEB in 0.0 min · 20.7 GB
OK ixtlahuacandelosmembrillos (211/292) 74 AGEB in 0.0 min · 20.7 GB
