country,municipality,lon,lat,tokens,score,split
brazil,2211209,-44.53952462244279,-7.253817669372202,281,1.8834746,
brazil,2300200,-40.115704277902026,-2.8944671558136066,291,2.1227174,
brazil,2300309,-39.45619960314091,-6.0925810896520805,212,1.6065125,
brazil,2301000,-38.39954122738149,-3.9152421078408546,1909,1.9967103,
brazil,2301109,-37.779387119586175,-4.569065520850888,361,1.8225368,
brazil,2301901,-39.30829620396847,-7.28932901971685,872,1.6976372,
brazil,2302107,-38.873291963816506,-4.3352865986839815,158,2.1240869,
brazil,2302206,-38.118642959419965,-4.1769682525704495,431,2.0200121,
brazil,2302404,-39.73102420658411,-5.123129971372743,220,1.6355511,
brazil,2302503,-38.98926009055308,-7.492325865690065,305,1.8796277,
brazil,2302602,-40.85203021038712,-2.9024671806967017,346,1.6929771,
brazil,2302800,-39.31089062555519,-4.3555204888294945,416,1.5070344,
brazil,2303501,-38.24177161399131,-4.124432564070945,601,1.6144881,
brazil,2303709,-38.66013883201561,-3.724879591671521,3630,1.8578018,
brazil,2304103,-40.666676597773275,-5.179417518428723,444,1.530063,
brazil,2304202,-39.40145611670796,-7.2366550095832105,987,1.7375641,
brazil,2304285,-38.45621077345201,-3.87179326762047,2793,1.6393257,
brazil,2304400,-38.5398528765859,-3.7903905481675135,14733,1.2275641,
brazil,2304707,-40.83060438307452,-3.121159467881897,145,1.4408,
brazil,2305001,-40.75554213040895,-4.165017818315994,214,2.0958664,
brazil,2305233,-38.49016387253099,-4.104765918035252,920,1.7837418,
brazil,2305407,-38.864064107160274,-6.40476594786731,266,1.7575269,
brazil,2305506,-39.30347344563045,-6.367217606051351,813,1.6346078,
brazil,2305803,-40.71106397532246,-4.325525610893936,234,2.0102446,
brazil,2306256,-38.5224604813323,-3.9211366270180377,836,1.838436,
brazil,2306306,-39.58588163190366,-3.688294881710204,200,2.0598505,
brazil,2306405,-39.58001660387791,-3.4889611081742236,565,1.8471103,
brazil,2306900,-38.620627708852815,-5.893095273590761,222,1.8383105,
brazil,2307304,-39.31047856465375,-7.226592503571497,2415,1.5249274,
brazil,2307601,-38.105705460546126,-5.144794137751745,653,1.9620395,
brazil,2307650,-38.61247318922466,-3.8563041584600413,3384,1.5367602,
brazil,2307700,-38.675800719369676,-3.8903874670942877,542,2.0053165,
brazil,2308005,-40.34384397339381,-3.5236607600785645,120,2.029779,
brazil,2308104,-38.77051857116473,-7.38263659457267,147,1.6385012,
brazil,2308401,-39.23901393670989,-7.260384807834257,32,1.6779287,
brazil,2308500,-39.62613335693291,-5.744493425561495,169,1.5264931,
brazil,2308708,-38.36620524063119,-5.103270827401676,400,1.934874,
brazil,2309300,-40.56225059332653,-4.707418265491201,188,1.5339507,
brazil,2309607,-38.46933087142298,-4.17067805749795,679,1.6706178,
brazil,2309706,-38.59976908869491,-3.9122980967842147,970,1.7526951,
brazil,2310209,-39.02993965440821,-3.4288373492020146,390,1.7115645,
brazil,2310506,-39.71654754186179,-5.457293445380092,131,1.52276,
brazil,2310704,-39.266120723651646,-3.794358915510619,170,2.0616746,
brazil,2311306,-39.02197467933041,-4.970799545115459,503,1.7199336,
brazil,2311405,-39.29197211441156,-5.190860099918708,400,1.4953455,
brazil,2311801,-37.975365493157305,-4.938806681570953,636,1.6047286,
brazil,2312205,-40.15235875093829,-4.332626156823253,183,1.9255009,
brazil,2312304,-40.86757486611115,-4.046530635248929,239,1.9023216,
brazil,2312403,-38.96484615697744,-3.6064445068399946,200,1.8600835,
brazil,2312908,-40.353606097799194,-3.68406963309585,1000,1.5081551,
brazil,2313104,-38.12946482562209,-5.242721570293786,251,1.8671768,
brazil,2313302,-40.28865900244424,-6.002012635275595,331,1.6808866,
brazil,2313401,-40.994318325071056,-3.7283908088032933,511,1.709651,
brazil,2313500,-39.267264427182894,-3.281109133504875,233,1.9225348,
