country,method,seed,municipality,rho
brazil,zero-shot,0,2205706,0.18660549983848504
brazil,zero-shot,0,2207009,0.32302204912184546
brazil,zero-shot,0,2207702,0.1008978309068706
brazil,zero-shot,0,2207900,-0.0050705385594043695
brazil,zero-shot,0,2208007,0.12015711850937782
brazil,zero-shot,0,2208304,-0.17947913003395033
brazil,zero-shot,0,2208403,0.19688635574406776
brazil,zero-shot,0,2210607,0.09576797194614327
brazil,zero-shot,0,2211001,0.2843302441753104
brazil,zero-shot,0,2211100,0.2396126924989115
brazil,zero-shot,0,2211209,-0.11935509373686913
brazil,zero-shot,0,2300200,0.1471084692066895
brazil,zero-shot,0,2300309,0.09167490516110814
brazil,zero-shot,0,2301000,-0.06789024769285959
brazil,zero-shot,0,2301109,-0.08015441810682249
brazil,zero-shot,0,2301901,0.07555508417539042
brazil,zero-shot,0,2302107,-0.09433372480374658
brazil,zero-shot,0,2302206,-0.2656992618146953
brazil,zero-shot,0,2302404,0.2133203053528323
brazil,zero-shot,0,2302503,-0.3293866220386307
brazil,zero-shot,0,2302602,-0.05906013992624156
brazil,zero-shot,0,2302800,0.07420233216217509
brazil,zero-shot,0,2303501,0.0359048160589655
brazil,zero-shot,0,2303709,-0.07335877916361708
brazil,zero-shot,0,2304103,0.09858784189258932
brazil,zero-shot,0,2304202,0.18410220563273513
brazil,zero-shot,0,2304285,0.19083088140363702
brazil,zero-shot,0,2304400,0.17752004604085725
brazil,zero-shot,0,2304707,0.36594559012135375
brazil,zero-shot,0,2305001,0.2173371847129794
brazil,zero-shot,0,2305233,0.10038941301432479
brazil,zero-shot,0,2305407,0.08526754007398417
brazil,zero-shot,0,2305506,0.05066033997135195
brazil,zero-shot,0,2305803,0.025417809271122496
brazil,zero-shot,0,2306256,0.04672926346850498
brazil,zero-shot,0,2306306,-0.06090865290936291
brazil,zero-shot,0,2306405,0.014652975419414124
brazil,zero-shot,0,2306900,-0.10290538340898837
brazil,zero-shot,0,2307304,0.11571748554520671
brazil,zero-shot,0,2307601,-0.12024265526167266
brazil,zero-shot,0,2307650,0.21969428905391777
brazil,zero-shot,0,2307700,-0.02188603603841979
brazil,zero-shot,0,2308005,0.3491613858857115
brazil,zero-shot,0,2308104,-0.16862841565123896
brazil,zero-shot,0,2308401,0.3723021232382941
brazil,zero-shot,0,2308500,0.031159150788011045
brazil,zero-shot,0,2308708,-0.05124644970323106
brazil,zero-shot,0,2309300,0.16184309918324263
brazil,zero-shot,0,2309607,0.09399748643845122
brazil,zero-shot,0,2309706,0.21809648689555128
brazil,zero-shot,0,2310209,-0.14312966786374196
brazil,zero-shot,0,2310506,-0.01951902246245996
brazil,zero-shot,0,2310704,-0.1726288444224242
brazil,zero-shot,0,2311306,-0.06729226918613448
brazil,zero-shot,0,2311405,-0.10791161922074498
brazil,zero-shot,0,2311801,0.08189401233606952
brazil,zero-shot,0,2312205,0.15097227727997162
brazil,zero-shot,0,2312304,0.31486209377646257
brazil,zero-shot,0,2312403,0.3098115715792428
brazil,zero-shot,0,2312908,-0.02478077108430681
brazil,zero-shot,0,2313104,-0.09718607469999144
brazil,zero-shot,0,2313302,-0.22592366403802835
brazil,zero-shot,0,2313401,0.24907690975323643
brazil,zero-shot,0,2313500,0.020261872060111985
brazil,zero-shot,0,2314003,0.03822935745483245
brazil,zero-shot,0,2400208,0.11699815372927137
brazil,zero-shot,0,2401008,-0.29385208760010256
brazil,zero-shot,0,2402006,0.02508909244324302
brazil,zero-shot,0,2402204,0.1211744947529899
brazil,zero-shot,0,2402600,0.10712053877583082
brazil,zero-shot,0,2403103,-0.06603663402946669
brazil,zero-shot,0,2403251,-0.02371041405400436
brazil,zero-shot,0,2403608,0.028873404271186714
brazil,zero-shot,0,2404200,0.2206602775702666
brazil,zero-shot,0,2405801,0.36711015280494996
brazil,zero-shot,0,2407104,-0.06487514827389976
brazil,zero-shot,0,2407203,0.08963258555327812
brazil,zero-shot,0,2408003,0.010435694868088662
brazil,zero-shot,0,2408102,0.43565451978265723
brazil,zero-shot,0,2408201,0.1262063902883316
brazil,zero-shot,0,2408300,-0.2302806472495599
brazil,zero-shot,0,2409407,-0.05069353352254444
brazil,zero-shot,0,2411205,-0.013108010771132564
brazil,zero-shot,0,2412005,0.1359295347693517
brazil,zero-shot,0,2412203,-0.12540475102010085
brazil,zero-shot,0,2500601,0.247134575839761
brazil,zero-shot,0,2501500,0.23466339404851286
brazil,zero-shot,0,2501807,-0.047484953141132394
brazil,zero-shot,0,2503209,0.13995414555908775
brazil,zero-shot,0,2503704,-0.2023609644215132
brazil,zero-shot,0,2504009,0.20433028292453673
brazil,zero-shot,0,2504306,0.23296865243455084
brazil,zero-shot,0,2504603,0.03758464004279466
brazil,zero-shot,0,2506004,-0.03649961264487411
brazil,zero-shot,0,2506301,-0.06634858754377265
brazil,zero-shot,0,2507507,0.21356475912416825
brazil,zero-shot,0,2508307,-0.14773811532442072
brazil,zero-shot,0,2508901,0.1851552308466741
brazil,zero-shot,0,2509701,0.25914152409332675
brazil,zero-shot,0,2510808,0.056224159779696345
brazil,zero-shot,0,2512101,0.11227715502173793
brazil,zero-shot,0,2512507,0.06074653289420935
brazil,zero-shot,0,2513703,0.08350389951977871
brazil,zero-shot,0,2513901,0.10955614071735849
brazil,zero-shot,0,2515302,0.1523056324889642
brazil,zero-shot,0,2516003,0.5086363942369366
brazil,zero-shot,0,2516201,-0.05962673599179048
brazil,zero-shot,0,2600054,0.11121929828673724
brazil,zero-shot,0,2600104,0.2150144962839587
brazil,zero-shot,0,2600500,-0.005967281229202037
brazil,zero-shot,0,2600708,0.11698929118633936
brazil,zero-shot,0,2601102,0.0896339660685713
brazil,zero-shot,0,2601201,0.11908282981627212
brazil,zero-shot,0,2601409,0.22837561804397827
brazil,zero-shot,0,2601706,0.18514080270824299
brazil,zero-shot,0,2601904,0.16332403800648393
brazil,zero-shot,0,2602100,0.23726107940269697
brazil,zero-shot,0,2602308,-0.01816263332506294
brazil,zero-shot,0,2602605,0.01970770729869981
brazil,zero-shot,0,2602803,0.12204718077620025
brazil,zero-shot,0,2602902,0.024188048209026276
brazil,zero-shot,0,2603009,0.22843194074463868
brazil,zero-shot,0,2603454,0.04596532530955259
brazil,zero-shot,0,2604007,0.21166144979352383
brazil,zero-shot,0,2604106,0.1362597075263807
brazil,zero-shot,0,2604205,0.35095801378209357
brazil,zero-shot,0,2604601,0.19566791984659146
brazil,zero-shot,0,2605004,0.3150215732992271
brazil,zero-shot,0,2605103,0.09708689007928707
brazil,zero-shot,0,2605202,0.23369236374755867
brazil,zero-shot,0,2605509,-0.15089021553055434
brazil,zero-shot,0,2605707,0.06817212428404146
brazil,zero-shot,0,2606002,0.2457306297954379
brazil,zero-shot,0,2606101,-0.16798997021173892
brazil,zero-shot,0,2606200,0.047598633914617924
brazil,zero-shot,0,2606408,0.12156157359303188
brazil,zero-shot,0,2606804,0.13378031308653585
brazil,zero-shot,0,2607208,-0.28316716550220944
brazil,zero-shot,0,2607604,0.5398214335146733
brazil,zero-shot,0,2607653,0.14146979195252038
brazil,zero-shot,0,2607752,0.020440871188368123
brazil,zero-shot,0,2607901,0.23522913500901885
brazil,zero-shot,0,2608503,0.08534556113220222
brazil,zero-shot,0,2608800,-0.11426622263134571
brazil,zero-shot,0,2608909,0.21016662668753214
brazil,zero-shot,0,2609402,-0.0630816307925139
brazil,zero-shot,0,2609501,0.16487240634765837
brazil,zero-shot,0,2609600,0.21583372168873527
brazil,zero-shot,0,2609907,0.07440576665662654
brazil,zero-shot,0,2610004,-0.13636532933940568
brazil,zero-shot,0,2610608,-0.16309380703261198
brazil,zero-shot,0,2610707,0.02996804067794394
brazil,zero-shot,0,2610905,-0.10492395235971727
brazil,zero-shot,0,2611002,-0.08399593555661311
brazil,zero-shot,0,2611101,0.5425863559061678
brazil,zero-shot,0,2611309,-0.17844787945921836
brazil,zero-shot,0,2611606,0.3367743785385244
brazil,zero-shot,0,2611804,0.09339925707757317
brazil,zero-shot,0,2612000,0.09439897672063849
brazil,zero-shot,0,2612208,0.08912804618173814
brazil,zero-shot,0,2612505,-0.09615945621275593
brazil,zero-shot,0,2613008,0.3218523516704157
brazil,zero-shot,0,2613107,0.17987093499169893
brazil,zero-shot,0,2613206,-0.2055455383950926
brazil,zero-shot,0,2613602,0.15873678760738313
brazil,zero-shot,0,2613701,0.030054096312064325
brazil,zero-shot,0,2614204,-0.22769974984556796
brazil,zero-shot,0,2614501,0.05664695228097222
brazil,zero-shot,0,2614600,0.13687390204965064
brazil,zero-shot,0,2615003,-0.4844075288488946
brazil,zero-shot,0,2615300,0.3054715234479565
brazil,zero-shot,0,2615409,0.04473339105560007
brazil,zero-shot,0,2615607,0.03392089466489545
brazil,zero-shot,0,2616407,0.012957664734544844
brazil,zero-shot,0,2700300,0.2362950063380464
brazil,zero-shot,0,2700409,-0.13780437025818357
brazil,zero-shot,0,2701407,-0.061288718302849904
brazil,zero-shot,0,2702009,-0.01158933098950727
brazil,zero-shot,0,2702306,0.25903614371496964
brazil,zero-shot,0,2702405,0.04767687119329716
brazil,zero-shot,0,2704104,-0.01439368620948837
brazil,zero-shot,0,2704203,0.28787753361378676
brazil,zero-shot,0,2704302,0.24024116964472705
brazil,zero-shot,0,2704500,-0.1403671883023005
brazil,zero-shot,0,2704708,0.30909396125015015
brazil,zero-shot,0,2705101,-0.15364941505796498
brazil,zero-shot,0,2705507,0.16919560883743984
brazil,zero-shot,0,2706307,0.1198115070289989
brazil,zero-shot,0,2706448,-0.21207335403719166
brazil,zero-shot,0,2706703,-0.11542895813165935
brazil,zero-shot,0,2706901,-0.013999531675502016
brazil,zero-shot,0,2707305,-0.3088178730524688
brazil,zero-shot,0,2707701,-0.16215761679107915
brazil,zero-shot,0,2707909,0.3442745963662899
brazil,zero-shot,0,2708006,0.030813500366529266
brazil,zero-shot,0,2708501,0.31382836137794157
brazil,zero-shot,0,2708600,-0.0447163713186435
brazil,zero-shot,0,2708907,0.46574567452495363
brazil,zero-shot,0,2709152,-0.05605842991388446
brazil,zero-shot,0,2709301,-0.09222109708445049
brazil,zero-shot,0,2800308,0.2524932157794324
brazil,zero-shot,0,2800605,-0.11916984755382726
brazil,zero-shot,0,2801306,0.1447206994278177
brazil,zero-shot,0,2802106,0.15235968733140284
brazil,zero-shot,0,2802908,0.29947169606235535
brazil,zero-shot,0,2803005,0.041142820215111224
brazil,zero-shot,0,2803500,-0.09629624521986689
brazil,zero-shot,0,2803609,0.19021703857235323
brazil,zero-shot,0,2804508,0.09968459769427578
brazil,zero-shot,0,2804805,-0.008054507902858481
brazil,zero-shot,0,2805703,-0.12164689499322433
brazil,zero-shot,0,2806701,0.08314443277885776
brazil,zero-shot,0,2807105,0.16633209952678638
brazil,zero-shot,0,2807402,0.17302044191930524
brazil,zero-shot,0,2900702,0.44368538910256616
brazil,zero-shot,0,2901007,0.16034623443475887
brazil,zero-shot,0,2902104,-0.1703711880242017
brazil,zero-shot,0,2902708,0.16991709587303483
brazil,zero-shot,0,2902906,0.01621402428513677
brazil,zero-shot,0,2903201,0.17427178892433368
brazil,zero-shot,0,2903904,0.2883884720939798
brazil,zero-shot,0,2904605,-0.16397046513733726
brazil,zero-shot,0,2905206,0.0716997341896956
brazil,zero-shot,0,2905701,0.20694546063387056
brazil,zero-shot,0,2906006,0.32295223571468656
brazil,zero-shot,0,2906303,0.1928833284034581
brazil,zero-shot,0,2906501,0.12444055872924495
