fold,config,bag_mae,auroc_high,spearman_pooled,spearman_within,spearman_within_ageb,bags_scored,bags_scored_ageb,instances
2,dropout 0.5,0.12755423784255981,0.7625495776382791,0.38665659129605146,0.27174843878727367,0.3671843548178991,42,41,64301
2,standardize,0.1353500336408615,0.7512369573897775,0.38225692581458603,0.2604256535865469,0.3658883067784236,42,41,64301
2,decay 1e-3,0.1282024085521698,0.7613256918912232,0.3845093769702867,0.27022300770909147,0.3609406089399261,42,41,64301
2,decay 1e-5,0.12821350991725922,0.7614815376279896,0.38485483567155115,0.2708831656725547,0.3610916839142483,42,41,64301
3,base,0.09797883778810501,0.7993420904873458,0.4286983655368459,0.14917200069762082,0.17529380246488316,63,61,90398
3,lr 5e-5,0.10428962856531143,0.8065192738531171,0.4397242384512329,0.1523518591631349,0.1846953527986133,63,61,90398
3,lr 1e-4,0.10307638347148895,0.8045091974508128,0.4332196839911309,0.15006468621516,0.17669156447667192,63,61,90398
3,lr 5e-4,0.08832301199436188,0.7934935103641478,0.44703688480759923,0.15056149844250538,0.19662610772156053,63,61,90398
3,lr 1e-3,0.08665359765291214,0.7822716587029519,0.4296884424539082,0.14174119014931416,0.17803879299949635,63,61,90398
3,bce,0.09658987820148468,0.8067415559361802,0.443820150441313,0.15068825248403164,0.18655922934466726,63,61,90398
3,hidden 64,0.10427463799715042,0.8052997967546246,0.43404981360050343,0.15310795313220282,0.17699880865434656,63,61,90398
3,hidden 128,0.10074404627084732,0.8043319616734771,0.4366996743036286,0.15211088132077422,0.18266117018096767,63,61,90398
3,hidden 512,0.096302330493927,0.7974969574421841,0.42861184661672264,0.14936221886698609,0.18281199294470685,63,61,90398
3,dropout 0.0,0.09843357652425766,0.7988305028860518,0.4282446576838171,0.14916027482238173,0.17468937570345666,63,61,90398
3,dropout 0.5,0.0972197875380516,0.8004420314864028,0.43068470007294646,0.15078623340590624,0.1765556306969041,63,61,90398
3,standardize,0.07983040809631348,0.7965317434405734,0.47009589655079437,0.16360484299569503,0.20225969276065334,63,61,90398
3,decay 1e-3,0.0980198010802269,0.7995043459219926,0.4291355261854545,0.14927602665957465,0.17687370718608017,63,61,90398
3,decay 1e-5,0.09797883778810501,0.7993420904873458,0.4286983655368459,0.14917200069762082,0.17529380246488316,63,61,90398
4,base,0.09140385687351227,0.7614683044654795,0.4495560774394372,0.15579288042578993,0.20108492158112193,75,71,87249
4,lr 5e-5,0.10150192677974701,0.7613944247998696,0.44954725811473684,0.15346723853175429,0.19725145692977802,75,71,87249
4,lr 1e-4,0.10268501192331314,0.7495619334739013,0.43802655273758323,0.1361408246700976,0.18565464524627445,75,71,87249
4,lr 5e-4,0.08859628438949585,0.7606958071419329,0.44622612014540963,0.16148280443074264,0.21689406023030078,75,71,87249
4,lr 1e-3,0.08752195537090302,0.7487678807430759,0.4271152679097085,0.15438658865641083,0.21565564403451887,75,71,87249
4,bce,0.08703931421041489,0.7643917375512899,0.4574965868847348,0.15808688398492834,0.20879290874241327,75,71,87249
4,hidden 64,0.10124098509550095,0.7494083514897538,0.4418739020817965,0.13559717920481448,0.18307873114403284,75,71,87249
4,hidden 128,0.09709729254245758,0.7571024423014083,0.4465869821738002,0.14643071386970885,0.19268006060564585,75,71,87249
4,hidden 512,0.08819567412137985,0.7617888922656295,0.4481679760510591,0.1587027573088049,0.20538466416839557,75,71,87249
4,dropout 0.0,0.09195470064878464,0.7603306028100195,0.44767875913723876,0.15419893924700598,0.2022508869728838,75,71,87249
4,dropout 0.5,0.09054853767156601,0.7615813046779659,0.45036743434078536,0.1552802684179177,0.20624816212523747,75,71,87249
4,standardize,0.08655653893947601,0.7562924472335104,0.464448036950261,0.17246063963509167,0.2542036273040574,75,71,87249
4,decay 1e-3,0.09150217473506927,0.7614100369563418,0.4494981137078801,0.1555445546959122,0.19975309214474107,75,71,87249
4,decay 1e-5,0.09140385687351227,0.7614683044654795,0.4495560774394372,0.15579288042578993,0.20108492158112193,75,71,87249
