country,method,seed,bags,within,within_ci_low,within_ci_high,municipalities_scored,pooled,auroc_top_quartile,tokens_scored
brazil,aggregates,0,1351,0.054784007528787045,0.04842003581512347,0.06107097343806171,1347,0.22443642316521137,0.6317632069277437,1187439
brazil,aggregates,1,1351,0.0564359558925544,0.05023270110758341,0.06278583195832749,1347,0.2336464507170924,0.6349393521024537,1187439
brazil,aggregates,2,1351,0.05824593873977917,0.05208132480767328,0.06465665192251996,1347,0.23065113897614983,0.6341669374075541,1187439
brazil,aggregates@50,0,1351,0.03853331537367606,0.030672863005547474,0.046618421208464995,1347,0.22972687467608113,0.6465447247823002,1187439
brazil,aggregates@50,1,1351,0.09255427514144222,0.08394956010174426,0.10215463714229195,1347,0.29182898487209397,0.6715568922317529,1187439
brazil,aggregates@50,2,1351,0.01501110316728742,0.0055677521361195215,0.0253575727990474,1347,0.23510814438174613,0.6487529521025075,1187439
brazil,aggregates@100,0,1351,0.06357628745459735,0.055490767157706476,0.07160714175984097,1347,0.27124474148994665,0.6602963462491617,1187439
brazil,aggregates@100,1,1351,0.045842738625921815,0.03760027315325476,0.05435360000004422,1347,0.24719007762319264,0.6537784333842459,1187439
brazil,aggregates@100,2,1351,0.053475327763234354,0.04466398131837496,0.06297376614900832,1347,0.2726316789637339,0.6630567699979644,1187439
brazil,aggregates@200,0,1351,0.05878861018489096,0.05133469178153999,0.06672351811636636,1347,0.25037475710773943,0.6466669805713318,1187439
brazil,aggregates@200,1,1351,0.054789657312603664,0.04836622899390695,0.06169899824539621,1347,0.25412004521431875,0.6578582533849159,1187439
brazil,aggregates@200,2,1351,0.06056382546213617,0.05329084439480643,0.06809391164043278,1347,0.25982826172688817,0.6522726885699278,1187439
brazil,aggregates@400,0,1351,0.05629758970912974,0.0491845716833419,0.06347076743421161,1347,0.24214671108485533,0.6389148644932597,1187439
brazil,aggregates@400,1,1351,0.07012901528871571,0.06348153969719005,0.0771758867710233,1347,0.24033675552778452,0.6440330853201668,1187439
brazil,aggregates@400,2,1351,0.05963504199875672,0.052363287874255926,0.06627221841770171,1347,0.25260875136720345,0.647181008093096,1187439
brazil,mexico-init,0,1351,0.07908219748292104,0.0702187220359925,0.08726092066072642,1347,0.3155085821411474,0.6797950848706571,1187439
brazil,mexico-init,1,1351,0.0742354511492048,0.06634541178906202,0.08177686243434579,1347,0.2836508487297468,0.6623478434839403,1187439
brazil,mexico-init,2,1351,0.0725968766670962,0.0650426040741733,0.08003512932712284,1347,0.274012026590077,0.656236776106035,1187439
brazil,oracle,0,1351,0.2459300160967614,0.2364216197579794,0.25557291838572277,1347,0.5290783023989162,0.7921019268042953,1187439
brazil,oracle,1,1351,0.25205317298644225,0.24137157890843874,0.26224819556835505,1347,0.547675120008541,0.801035756452988,1187439
brazil,oracle,2,1351,0.255507858680963,0.24493067537941093,0.2655474369453454,1347,0.5456681803051914,0.7975292032575632,1187439
